shard,beatmap_set_id,group_source_map_count,group_unique_bpm_count,audio_path,beatmap_path,title,artist,creator,version,beatmap_id,difficulty,resolved_beatmap_path,red_offsets_ms_head,red_bpms_head,unique_bpms_head,unique_bpm_count,red_point_count,bpm_min,bpm_max,bpm_span,nonzero_bpm_diff_count,positive_bpm_diff_count,negative_bpm_diff_count,same_direction_fraction,direction_change_count,max_monotonic_run_length,max_monotonic_run_start_ms,max_monotonic_run_end_ms,max_monotonic_run_duration_s,max_monotonic_start_bpm,max_monotonic_end_bpm,max_monotonic_bpm_span,max_monotonic_abs_slope_bpm_per_s,max_monotonic_direction,max_monotonic_linear_r2,ramp_score,audio_representative_count,beatmapset_max_unique_bpm_count,beatmapset_max_red_point_count,beatmapset_max_bpm_span,beatmapset_max_monotonic_run_length,beatmapset_max_monotonic_bpm_span,beatmapset_max_ramp_score
0,478161,4,12,478161/audio.mp3,478161/LeaF - NANO DEATH!!!!! (nowsmart) [Expert].osu,NANO DEATH!!!!!,LeaF,nowsmart,Expert,1087088,5.26,dataset/0/478161/LeaF - NANO DEATH!!!!! (nowsmart) [Expert].osu,"[1386.0, 25385.0, 27576.0, 27826.0, 121507.0, 122212.0, 128917.0, 129304.0, 131746.0, 134053.0, 134553.0, 135393.0, 135574.0, 135897.0, 136955.0, 137575.0]","[170.0, 219.0, 240.0, 240.0, 170.0, 170.0, 155.0, 150.0, 130.0, 120.0, 125.0, 165.0, 180.0, 143.0, 143.0, 123.0]","[120.0, 123.0, 125.0, 130.0, 143.0, 150.0, 155.0, 165.0, 170.0, 180.0, 219.0, 240.0]",12,16,120.0,240.0,120.0,12,5,7,0.5833333333333334,3,9,25385.0,134053.0,108.668,219.0,120.0,99.0,0.9110317664813928,down,0.8951108353073058,204.04581772964903,1,12,16,120.0,9,99.0,204.04581772964903
0,824051,4,24,824051/audio 1.300x (pitch raised).mp3,824051/toby fox - ASGORE (Wh1teh) [!! 1.3x].osu,ASGORE,toby fox,Wh1teh,!! 1.3x,3784110,5.68,dataset/0/824051/toby fox - ASGORE (Wh1teh) [!! 1.3x].osu,"[183.0, 16112.0, 16337.0, 100527.0, 100735.0, 106964.0, 107160.0, 111581.0, 111781.0, 113389.0, 113589.0]","[146.9, 266.5, 298.61, 288.21, 298.61, 305.11, 298.61, 299.91, 298.61, 299.91, 298.61]","[146.9, 266.5, 288.21, 298.61, 299.91, 305.11]",6,11,146.90000009058838,305.1099998804993,158.2099997899109,10,6,4,0.6,7,3,183.0,16337.0,16.154,146.90000009058838,298.61000030955904,151.71000021897066,9.391481999441046,up,0.9643160930861213,202.8098670154257,4,6,11,158.2099997899109,3,151.71000021897066,202.8098670154257
0,1569527,1,22,1569527/audio.mp3,1569527/SUPER MWC KART - Purple Palace (-mint-) [Rainbow Road Revolution].osu,Purple Palace,SUPER MWC KART,-mint-,Rainbow Road Revolution,3205077,5.8,dataset/0/1569527/SUPER MWC KART - Purple Palace (-mint-) [Rainbow Road Revolution].osu,"[1548.0, 105289.0, 108198.0, 110940.0, 113562.0, 116088.0, 118549.0, 120949.0, 123290.0, 156432.0, 157548.0, 158638.0, 159704.0, 193095.0, 244095.0, 254761.0, 268475.0, 273692.0, 279952.0, 285952.0, 291712.0, 294481.0, 297250.0, 303472.0]","[155.0, 165.0, 175.0, 183.0, 190.0, 195.0, 200.0, 205.0, 210.0, 215.0, 220.0, 225.0, 230.0, 160.0, 180.0, 210.0, 230.0, 230.0, 240.0, 250.0, 260.0, 260.0, 270.0, 280.0]","[120.0, 136.0, 155.0, 160.0, 165.0, 175.0, 180.0, 183.0, 190.0, 195.0, 200.0, 205.0, 210.0, 215.0, 220.0, 225.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0]",22,33,120.0,280.0000000000004,160.0000000000004,30,21,9,0.7,4,10,297250.0,405843.0,108.593,270.0000000000003,120.0,150.00000000000028,1.3813045039735552,down,0.5621881221533457,202.21023608023546,1,22,33,160.0000000000004,10,150.00000000000028,202.21023608023546
0,829383,3,11,829383/audio.mp3,829383/Frums - theyaremanycolors (Vortex-) [780THz].osu,theyaremanycolors,Frums,Vortex-,780THz,1737654,4.52,dataset/0/829383/Frums - theyaremanycolors (Vortex-) [780THz].osu,"[40239.0, 80239.0, 120239.0, 121217.0, 122174.0, 123111.0, 124029.0, 124929.0, 125815.0, 126688.0, 127553.0]","[120.0, 180.0, 184.0, 188.0, 192.0, 196.0, 200.0, 203.0, 206.0, 208.0, 210.0]","[120.0, 180.0, 184.0, 188.0, 192.0, 196.0, 200.0, 203.0, 206.0, 208.0, 210.0]",11,11,120.0,209.99999999999977,89.99999999999977,10,10,0,1.0,0,11,40239.0,127553.0,87.314,120.0,209.99999999999977,89.99999999999977,1.0307625352177174,up,0.8758369910421477,195.87358468538466,1,11,11,89.99999999999977,11,89.99999999999977,195.87358468538466
0,1328442,3,7,1328442/audio.mp3,"1328442/t+pazolite & Camellia feat. Nanahira - Boku no Yume, Mecha Kuso Mugen Waki (Rhezie) [Infinite Spring].osu","Boku no Yume, Mecha Kuso Mugen Waki",t+pazolite & Camellia feat. Nanahira,Rhezie,Infinite Spring,2751872,4.09,"dataset/0/1328442/t+pazolite & Camellia feat. Nanahira - Boku no Yume, Mecha Kuso Mugen Waki (Rhezie) [Infinite Spring].osu","[74.0, 68415.0, 69261.0, 96690.0, 97650.0, 98250.0, 99415.0, 100915.0]","[205.0, 177.0, 140.0, 125.0, 100.0, 80.0, 200.0, 205.0]","[80.0, 100.0, 125.0, 140.0, 177.0, 200.0, 205.0]",7,8,79.99999999999979,205.0000000000002,125.00000000000041,7,2,5,0.7142857142857143,1,6,74.0,98250.0,98.176,205.0000000000002,79.99999999999979,125.00000000000041,1.273223598435467,down,0.7708033975659287,187.4892692812329,1,7,8,125.00000000000041,6,125.00000000000041,187.4892692812329
0,2069893,2,17,2069893/audio.mp3,2069893/TSUNKU - Kumitate Koujou (HimitsuHiketsu) [Assembly].osu,Kumitate Koujou,TSUNKU,HimitsuHiketsu,Assembly,4331102,2.78,dataset/0/2069893/TSUNKU - Kumitate Koujou (HimitsuHiketsu) [Assembly].osu,"[286.0, 14978.0, 21901.0, 24133.0, 30551.0, 31542.0, 32479.0, 37933.0, 38949.0, 40060.0, 47406.0, 48817.0, 50531.0, 62531.0, 63768.0, 64811.0, 70265.0, 71122.0, 71922.0]","[98.0, 104.0, 107.0, 112.0, 121.0, 128.0, 132.0, 118.0, 108.0, 98.0, 85.0, 70.0, 60.0, 97.0, 115.0, 132.0, 140.0, 150.0, 160.0]","[60.0, 70.0, 85.0, 97.0, 98.0, 104.0, 107.0, 108.0, 112.0, 115.0, 118.0, 121.0, 128.0, 132.0, 140.0, 150.0, 160.0]",17,19,60.0,160.0,100.0,18,12,6,0.6666666666666666,2,8,48817.0,71922.0,23.105,69.99999999999984,160.0,90.00000000000016,3.8952607660679575,up,0.933419916200339,184.5839862765453,1,17,19,100.0,8,90.00000000000016,184.5839862765453
0,2327411,1,13,2327411/audio.mp3,2327411/Ludicin - Lost Requiem (Harbyter) [Another].osu,Lost Requiem,Ludicin,Harbyter,Another,5046421,4.34,dataset/0/2327411/Ludicin - Lost Requiem (Harbyter) [Another].osu,"[4800.0, 81600.0, 178800.0, 180063.0, 181396.0, 182807.0, 244307.0, 303601.0, 309601.0, 320822.0, 324250.0, 329788.0, 368188.0, 405388.0, 479673.0, 484036.0, 488209.0, 528209.0, 532382.0, 535654.0]","[100.0, 200.0, 190.0, 180.0, 170.0, 160.0, 170.0, 160.0, 150.0, 140.0, 130.0, 100.0, 200.0, 210.0, 220.0, 230.0, 240.0, 230.0, 220.0, 210.0]","[100.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0]",13,20,100.0,240.0,140.0,19,7,12,0.631578947368421,5,7,324250.0,488209.0,163.959,129.99999999999986,240.0,110.00000000000014,0.6708994321751178,up,0.7873428814119948,180.09568446694053,1,13,20,140.0,7,110.00000000000014,180.09568446694053
0,2320672,1,27,2320672/Kegarenaki.mp3,2320672/Ariabl'eyeS - Kegarenaki Bara Juuji (gzdongsheng) [Lapis Lazuli].osu,Kegarenaki Bara Juuji,Ariabl'eyeS,gzdongsheng,Lapis Lazuli,4971502,5.59,dataset/0/2320672/Ariabl'eyeS - Kegarenaki Bara Juuji (gzdongsheng) [Lapis Lazuli].osu,"[149.0, 816.0, 10422.0, 11136.0, 11482.0, 12148.0, 12509.0, 12842.0, 13842.0, 14154.0, 14696.0, 15529.0, 15792.0, 16162.0, 16828.0, 17459.0, 18104.0, 19150.0, 19480.0, 21480.0, 21835.0, 22175.0, 22650.0, 24145.0]","[90.0, 90.0, 84.0, 86.5, 90.0, 83.0, 90.0, 90.0, 96.0, 83.0, 90.0, 114.0, 81.0, 90.0, 95.0, 93.0, 86.0, 90.7, 90.0, 84.5, 88.0, 94.7, 90.3, 93.0]","[81.0, 83.0, 84.0, 84.5, 86.0, 86.5, 87.0, 88.0, 88.7, 90.0, 90.3, 90.7, 91.0, 91.27, 93.0, 94.7, 95.0, 95.2, 96.0, 100.0, 114.0, 127.0, 130.0, 132.0]",27,52,80.99999999999997,259.9999999999997,178.99999999999974,40,21,19,0.525,26,7,31163.0,142530.0,111.367,91.00000000000004,259.9999999999997,168.99999999999966,1.5175051855576576,up,0.5053889829074103,177.60663693428285,1,27,52,178.99999999999974,7,168.99999999999966,177.60663693428285
0,2160180,1,14,2160180/audio.mp3,2160180/seatrus - DiSANiMATE ([GB]Rick) [jinsei].osu,DiSANiMATE,seatrus,[GB]Rick,JiNSEi,4555218,4.91,dataset/0/2160180/seatrus - DiSANiMATE ([GB]Rick) [jinsei].osu,"[2040.0, 14507.0, 17433.0, 20191.0, 21495.0, 22732.0, 23908.0, 81205.0, 82381.0, 83618.0, 138400.0, 144047.0, 186047.0, 188870.0, 191478.0, 193830.0, 280316.0, 284545.0, 286613.0, 290663.0, 294646.0, 296806.0]","[154.0, 164.0, 174.0, 184.0, 194.0, 204.0, 222.0, 204.0, 194.0, 184.0, 170.0, 160.0, 170.0, 184.0, 204.0, 222.0, 227.0, 232.0, 237.0, 241.0, 250.0, 250.0]","[154.0, 160.0, 164.0, 170.0, 174.0, 184.0, 194.0, 204.0, 222.0, 227.0, 232.0, 237.0, 241.0, 250.0]",14,22,153.99999999999986,250.0,96.00000000000014,20,15,5,0.75,2,12,138400.0,296806.0,158.406,170.0000000000001,250.0,79.99999999999989,0.5050313750741757,up,0.8614049329565857,176.75680234409515,1,14,22,96.00000000000014,12,79.99999999999989,176.75680234409515
0,363184,1,28,363184/09 - Apparition.mp3,363184/Spawn of Possession - Apparition (XeoStyle) [Duty to God].osu,Apparition,Spawn of Possession,XeoStyle,Duty to God,797527,5.39,dataset/0/363184/Spawn of Possession - Apparition (XeoStyle) [Duty to God].osu,"[569.0, 54569.0, 158569.0, 159084.0, 159583.0, 161081.0, 164068.0, 164586.0, 165586.0, 166554.0, 166817.0, 167583.0, 167848.0, 168504.0, 168816.0, 169081.0, 169331.0, 169596.0, 169846.0, 170078.0, 170328.0, 173328.0, 173562.0, 175312.0]","[80.0, 240.0, 232.738557, 240.192154, 240.192154, 249.584027, 231.660232, 240.0, 247.933884, 228.136882, 235.294118, 225.733634, 228.658537, 240.0, 226.329687, 240.0, 226.244344, 240.0, 258.62069, 240.0, 240.0, 256.410256, 240.0, 245.198202]","[80.0, 120.0, 125.0, 130.0, 140.0, 160.0, 200.0, 225.733634, 226.244344, 226.329687, 228.136882, 228.658537, 231.660232, 232.738557, 235.294118, 240.0, 240.192154, 243.111831, 245.198202, 247.831475, 247.933884, 249.584027, 250.0, 250.521921]",28,61,80.0,270.0000000000003,190.00000000000028,38,22,16,0.5789473684210527,26,2,569.0,54569.0,54.0,80.0,240.0,160.0,2.962962962962963,up,1.0,175.77796618689757,1,28,61,190.00000000000028,2,160.0,175.77796618689757
