shard,beatmap_set_id,title,artist,creator,version,beatmap_id,difficulty,group_unique_bpm_count,unique_bpm_count,red_point_count,audio_path,beatmap_path,resolved_beatmap_path,previous_ramp_score,audit_status,audit_reasons,ramp_family,real_ramp_score,best_run_start_index,best_run_end_index,best_run_length,best_run_start_ms,best_run_end_ms,best_run_duration_s,best_run_start_bpm,best_run_end_bpm,best_run_bpm_span,best_run_direction,best_run_linear_r2,best_run_point_density_per_s,best_run_median_gap_s,best_run_p90_gap_s,best_run_max_gap_s,best_run_gap_cv,best_run_median_abs_delta_bpm,best_run_p90_abs_delta_bpm,best_run_max_abs_delta_bpm,best_run_jumpiness,best_run_big_jump_count,best_run_big_jump_fraction,best_run_point_coverage,best_run_span_coverage,best_run_offsets_ms,best_run_bpms,audio_representative_count,beatmapset_max_real_ramp_score,beatmapset_max_best_run_span,beatmapset_max_best_run_length,beatmapset_max_best_run_duration_s
0,429742,"Autotheist Movements I, II & III",The Faceless,XeoStyle,Deitas,927187,5.4,16,16,52,429742/Autotheist Movement.mp3,"429742/The Faceless - Autotheist Movements I, II & III (XeoStyle) [Deitas].osu","dataset/0/429742/The Faceless - Autotheist Movements I, II & III (XeoStyle) [Deitas].osu",224.48383874628598,reject,['low_bpm_span'],short_or_low_span,20.29779675606906,39,44,6,670251.0,690603.0,20.352,164.99999999999983,109.9999999999999,54.99999999999993,down,0.19981427741392133,0.2456761006289308,0.5,11.1262,17.453,1.6479893249597894,14.99999999999983,26.999999999999968,30.0,0.5454545454545462,1,0.3333333333333333,0.11538461538461539,0.36230490142957206,"[670251.0, 670614.0, 671014.0, 671514.0, 673150.0, 690603.0]","[165.0, 150.0, 120.0, 110.0, 110.0, 110.0]",1,20.29779675606906,54.99999999999993,6,20.352
0,1083786,SUIKINKUTSU (feat. Uehara Hiromi),TOKYO SKA PARADISE ORCHESTRA,IcyWorld,Icy X,4315264,5.06,264,88,194,1083786/01 SUIKINKUTSU.mp3,1083786/TOKYO SKA PARADISE ORCHESTRA - SUIKINKUTSU (feat. Uehara Hiromi) (IcyWorld) [Icy X].osu,dataset/0/1083786/TOKYO SKA PARADISE ORCHESTRA - SUIKINKUTSU (feat. Uehara Hiromi) (IcyWorld) [Icy X].osu,187.5163293437205,reject,"['too_few_points', 'tiny_run_inside_noisy_timing']",short_or_low_span,20.064463273338998,6,7,2,28483.0,34421.0,5.938,171.7620002401748,36.15489999269942,135.6071002474754,down,1.0,0.16840687100033683,5.938,5.938,5.938,0.0,135.6071002474754,135.6071002474754,135.6071002474754,1.0,1,1.0,0.010309278350515464,0.8230778717124614,"[28483.0, 34421.0]","[171.762, 36.1549]",3,20.064463273338998,162.7285202969707,2,5.938
0,1314013,Kamah (Scythe),Camellia,Ticle,Set them free,2723400,5.38,14,14,14,1314013/audio.mp3,1314013/Camellia - Kamah (Scythe) (Ticle) [Set them free].osu,dataset/0/1314013/Camellia - Kamah (Scythe) (Ticle) [Set them free].osu,80.41028378718477,reject,['low_bpm_span'],short_or_low_span,19.954422865416557,1,7,7,105930.0,112826.0,6.896,131.99999999999986,150.0,18.000000000000142,up,0.9958980754420754,0.8700696055684455,0.839,1.7934999999999999,1.82,0.39664445096885687,2.000000000000128,5.000000000000014,5.999999999999801,0.33333333333331966,0,0.0,0.5,0.48648648648649256,"[105930.0, 107750.0, 109517.0, 110362.0, 111195.0, 112016.0, 112826.0]","[132.0, 136.0, 142.0, 144.0, 146.0, 148.0, 150.0]",1,19.954422865416557,18.000000000000142,7,6.896
0,1671141,OWA Raged in Vegas (Fuck Bees),KURORAK,hi19hi19,PLAY FN ON MIRROR ITS SO MUCH EAS,3413314,4.91,8,2,3,1671141/OWA Raged in Vegas (Fuck Bees).mp3,1671141/Kurorak - OWA Raged in Vegas (Fuck Bees) (hi19hi19) [PLAY FN ON MIRROR ITS SO MUCH EAS].osu,dataset/0/1671141/Kurorak - OWA Raged in Vegas (Fuck Bees) (hi19hi19) [PLAY FN ON MIRROR ITS SO MUCH EAS].osu,105.46677951175164,reject,['too_few_points'],short_or_low_span,19.775021158453434,1,2,2,130387.0,137887.0,7.5,135.99999987306666,231.99999969066664,95.99999981759998,up,1.0,0.13333333333333333,7.5,7.5,7.5,0.0,95.99999981759998,95.99999981759998,95.99999981759998,1.0,1,1.0,0.6666666666666666,1.0,"[130387.0, 137887.0]","[136.0, 232.0]",4,19.775021158453434,110.39999979023997,2,7.5
0,1888808,Fragments (feat. KOCHO),Aiobahn,LeiN-,Anamnesis,3889990,3.29,16,16,18,1888808/vocal_ver.mp3,1888808/Aiobahn - Fragments (feat. KOCHO) (LeiN-) [Anamnesis].osu,dataset/0/1888808/Aiobahn - Fragments (feat. KOCHO) (LeiN-) [Anamnesis].osu,13.45632608810495,reject,['low_bpm_span'],short_or_low_span,19.60007430275608,1,9,9,212141.0,215469.0,3.328,153.999999846,126.99999996825,26.999999877750014,down,0.9718589350143055,2.4038461538461537,0.415,0.4398,0.444,0.04438986853995044,2.999999914875005,5.900000064246663,8.000000166749999,0.29629630381378586,0,0.0,0.5,0.6749999972531252,"[212141.0, 212531.0, 212925.0, 213331.0, 213739.0, 214161.0, 214587.0, 215025.0, 215469.0]","[154.0, 152.0, 148.0, 147.0, 142.0, 141.0, 137.0, 135.0, 127.0]",1,19.60007430275608,26.999999877750014,9,3.328
0,1103524,Drop The Fire,KASAI HARCORES,eon,Magma,2305400,5.06,6,6,6,1103524/audio.mp3,1103524/KASAI HARCORES - Drop The Fire (eon) [Magma].osu,dataset/0/1103524/KASAI HARCORES - Drop The Fire (eon) [Magma].osu,13.774401329467052,reject,"['too_few_points', 'low_bpm_span']",short_or_low_span,19.589885404342983,1,5,5,129082.0,136122.0,7.04,129.99999999999986,144.99999999999994,15.000000000000085,up,0.9866588144982108,0.5681818181818182,1.758,1.8253000000000001,1.846,0.03461948183793735,3.999999999999858,5.000000000000139,5.000000000000284,0.3333333333333504,0,0.0,0.8333333333333334,0.8823529411764786,"[129082.0, 130928.0, 132705.0, 134444.0, 136122.0]","[130.0, 135.0, 138.0, 143.0, 145.0]",1,19.589885404342983,15.000000000000085,5,7.04
0,1695340,Fuwafuwa Balloon ga Tobidashita! (Cut Ver.),Fuyu (CV: Iwami Manaka),Drum-Hitnormal,Collab Kokoro Balloon,3466791,2.87,8,8,11,1695340/audio.mp3,1695340/Fuyu (CV Iwami Manaka) - Fuwafuwa Balloon ga Tobidashita! (Cut Ver.) (Drum-Hitnormal) [Collab Kokoro Balloon].osu,dataset/0/1695340/Fuyu (CV Iwami Manaka) - Fuwafuwa Balloon ga Tobidashita! (Cut Ver.) (Drum-Hitnormal) [Collab Kokoro Balloon].osu,52.489821078916634,reject,"['too_few_points', 'low_bpm_span']",short_or_low_span,19.49097629762458,6,10,5,106704.0,110273.0,3.569,102.00000000000001,60.0,42.000000000000014,down,0.9282265540717528,1.1207621182404035,0.8654999999999999,1.175,1.25,0.28472914189363674,14.000000000000028,20.399999999999984,21.99999999999997,0.523809523809523,0,0.0,0.45454545454545453,0.9130434782608713,"[106704.0, 107292.0, 108542.0, 109273.0, 110273.0]","[102.0, 96.0, 82.0, 60.0, 60.0]",1,19.49097629762458,42.000000000000014,5,3.569
0,475591,Tenshinranman Haikara Hime,capitaro,Syadow-,MX,1016103,3.92,20,20,25,475591/THH.mp3,475591/capitaro - Tenshinranman Haikara Hime (Syadow-) [MX].osu,dataset/0/475591/capitaro - Tenshinranman Haikara Hime (Syadow-) [MX].osu,35.058428224896645,reject,"['too_few_points', 'too_short_duration']",short_or_low_span,19.045660034742834,16,20,5,169483.0,170284.0,0.801,224.9999999999997,103.00000000000003,121.99999999999966,down,0.9516740134393574,4.9937578027465666,0.1965,0.2528,0.266,0.23746289778239255,33.499999999999986,38.4999999999998,39.99999999999977,0.3278688524590154,3,0.75,0.2,1.0,"[169483.0, 169749.0, 169891.0, 170062.0, 170284.0]","[225.0, 210.0, 175.0, 135.0, 103.0]",1,19.045660034742834,121.99999999999966,5,0.801
0,1488069,Road of Resistance,BABYMETAL,Div,Revolution,3050667,5.27,46,46,62,1488069/audio.mp3,1488069/BABYMETAL - Road of Resistance (Div) [Revolution].osu,dataset/0/1488069/BABYMETAL - Road of Resistance (Div) [Revolution].osu,30.568249762064262,reject,['too_short_duration'],stepped_ramp,18.663184975585096,32,37,6,296650.0,299351.0,2.701,150.0,54.00000000000006,95.99999999999994,down,0.8396399556533962,1.8511662347278786,0.459,0.7608,0.8,0.3292920352071294,11.549999999999969,44.82999999999997,64.74999999999994,0.6744791666666665,1,0.2,0.0967741935483871,0.5690494029792583,"[296650.0, 297450.0, 298152.0, 298520.0, 298892.0, 299351.0]","[150.0, 85.25, 81.5, 80.5, 65.55, 54.0]",1,18.663184975585096,95.99999999999994,6,2.701
0,330405,The Warrior Inside,DragonForce,_underjoy,4K Collab Gladiator,1038662,5.35,14,14,14,330405/Dragonforce - The Warrior Inside.mp3,330405/DragonForce - The Warrior Inside (_underjoy) [4K Collab Gladiator].osu,dataset/0/330405/DragonForce - The Warrior Inside (_underjoy) [4K Collab Gladiator].osu,116.88422329376614,reject,"['too_few_points', 'too_short_duration']",short_or_low_span,18.567095435538118,3,7,5,414378.0,416966.0,2.588,114.49595065987835,51.75938785897292,62.736562800905425,down,0.9810019728870578,1.5455950540958268,0.643,0.7477,0.778,0.14381926004843373,13.706167160117786,22.555747681848327,25.38116608734496,0.40456736796199894,1,0.25,0.35714285714285715,0.4232076614822778,"[414378.0, 414902.0, 415511.0, 416188.0, 416966.0]","[114.495951, 98.532846, 88.589784, 77.140554, 51.759388]",1,18.567095435538118,62.736562800905425,5,2.588
